Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-97155.87,21.37161,1.491819e-06,0.06749852,0.5345952,-0.0002554771
2.0,-97016.74,-11.5874,1.485005e-06,0.07008551,0.5349181,-0.000259763
3.0,-97049.84,-26.23297,1.485566e-06,0.07142195,0.5366906,-0.0002533139
4.0,-97066.16,-24.50727,1.48597e-06,0.07681168,0.5499941,-0.0002092146
5.0,-97058.86,-19.85951,1.485694e-06,0.09687003,0.5951081,-0.0001325374
6.0,-97045.79,-17.35141,1.48524e-06,0.1170208,0.6445736,-0.0002681708
7.0,-97032.27,-15.43019,1.484724e-06,0.1204562,0.6801407,-0.0003573916
8.0,-97018.53,-14.5417,1.484189e-06,0.1019668,0.720319,-0.0004287548
9.0,-97004.31,-13.33694,1.483653e-06,0.0837923,0.752448,-0.000545354
10.0,-96989.51,-13.2033,1.48312e-06,0.0930416,0.7836961,-0.0006630559
11.0,-96974.5,-12.75582,1.482579e-06,0.1104184,0.8283812,-0.0007824999
12.0,-96959.8,-13.57179,1.482034e-06,0.1323426,0.8965517,-0.0009222866
13.0,-96945.78,-13.5967,1.481503e-06,0.1737684,0.9907092,-0.001101037
14.0,-96933.12,-13.92253,1.480987e-06,0.2332195,1.125106,-0.001358029
15.0,-96920.92,-13.76077,1.480482e-06,0.2844359,1.247372,-0.001522575
16.0,-96910.65,-13.62092,1.480019e-06,0.3433552,1.397537,-0.001656382
17.0,-96901.33,-13.08246,1.479613e-06,0.4076925,1.550183,-0.001779954
18.0,-96894.44,-12.95438,1.479257e-06,0.4304549,1.658709,-0.001809773
19.0,-96889.29,-12.10307,1.478941e-06,0.4511776,1.773751,-0.001815336
20.0,-96885.57,-12.17537,1.47868e-06,0.4742576,1.905549,-0.001820504
21.0,-96882.91,-11.84295,1.478457e-06,0.495327,2.020254,-0.001825618
22.0,-96881.59,-11.14116,1.478287e-06,0.5123647,2.119207,-0.00182933
23.0,-96881.77,-11.56019,1.478199e-06,0.510641,2.188547,-0.001830237
24.0,-96883.09,-12.47369,1.478175e-06,0.4996616,2.23973,-0.001828803
