,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-0.4043554,2.581166,-7.362359e-09,0.005353276,0.004300717,2.363966e-08
2.0,33.73656,-15.74288,-1.516456e-06,0.01098141,0.03473759,3.853149e-07
3.0,-18.54683,809.5104,-7.519956e-06,0.03959845,0.03447297,1.546813e-08
4.0,-31.88709,1201.42,-1.138812e-05,0.05973157,0.03850923,1.452502e-08
5.0,53.49742,1114.73,-1.209682e-05,0.07317088,0.04196691,1.028486e-08
6.0,85.84802,1117.117,-1.287957e-05,0.07889747,0.03925715,1.57723e-08
7.0,100.5471,1282.141,-1.242297e-05,0.0877647,0.0392748,1.697001e-08
8.0,112.1746,1359.639,-1.081599e-05,0.09164646,0.03823952,1.865149e-08
9.0,99.08106,1568.034,-8.440356e-06,0.09438817,0.03780462,1.922616e-08
10.0,103.3897,1622.962,-5.166914e-06,0.09498221,0.03688814,2.081115e-08
11.0,97.81588,1703.913,-1.439233e-06,0.0938312,0.03561293,2.090696e-08
12.0,94.97381,1757.117,2.122901e-06,0.0920592,0.03487751,2.231455e-08
13.0,90.87316,1795.454,5.338966e-06,0.0886859,0.03369743,2.289278e-08
14.0,85.70507,1829.336,8.088258e-06,0.08486169,0.03281725,2.33288e-08
15.0,78.27982,1863.245,1.031326e-05,0.08009034,0.03172924,2.340492e-08
16.0,70.42807,1892.831,1.200422e-05,0.07583939,0.03084898,2.346106e-08
17.0,63.18862,1913.426,1.320519e-05,0.06907181,0.02961586,2.395489e-08
18.0,55.48974,1932.133,1.391428e-05,0.06321387,0.02909182,2.414439e-08
19.0,50.2633,1932.797,1.424965e-05,0.05867684,0.02895121,2.440313e-08
20.0,47.44738,1918.749,1.433668e-05,0.05200281,0.02804486,2.482885e-08
21.0,48.37751,1886.016,1.426921e-05,0.04730415,0.02828954,2.526304e-08
22.0,53.16899,1840.106,1.404857e-05,0.04296105,0.02886382,2.585763e-08
23.0,64.47708,1767.275,1.370631e-05,0.03946499,0.03005743,2.668534e-08
24.0,79.86783,1684.969,1.326071e-05,0.0365749,0.03120576,2.74456e-08
25.0,95.59095,1612.751,1.273918e-05,0.03504049,0.03268174,2.81041e-08
26.0,108.0824,1565.978,1.223197e-05,0.03404942,0.03415171,2.860264e-08
27.0,114.8647,1555.924,1.177519e-05,0.03437368,0.03615588,2.904841e-08
28.0,116.1051,1585.632,1.137359e-05,0.03593122,0.03920883,2.956628e-08
29.0,115.5953,1630.913,1.107909e-05,0.0386646,0.04346347,3.018402e-08
30.0,115.1243,1677.247,1.08821e-05,0.04193632,0.04845843,3.087267e-08
31.0,117.5036,1708.341,1.087559e-05,0.04674245,0.05309126,3.15152e-08
32.0,122.1185,1731.037,1.105948e-05,0.05344424,0.0575523,3.212105e-08
33.0,127.776,1744.198,1.13642e-05,0.06092288,0.06167768,3.278164e-08
34.0,137.1323,1726.797,1.181591e-05,0.06846852,0.06433329,3.346521e-08
