Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-97077.78,189.1119,1.698072e-13,0.1044175,0.6397926,-1.116612e-15
2.0,-96821.48,62.74731,1.700157e-13,0.1189603,0.6321963,-3.357426e-16
3.0,-96787.09,-35.00425,1.699547e-13,0.1903813,0.7434083,-1.997542e-16
4.0,-96777.5,-48.34384,1.698911e-13,0.3730496,1.074928,1.737689e-18
5.0,-96777.8,-41.21721,1.698623e-13,0.7120564,1.727656,-1.58239e-16
6.0,-96785.93,-33.66637,1.698425e-13,0.900154,2.267416,-6.334985e-16
7.0,-96806.07,-28.81773,1.698319e-13,0.8316943,2.292864,-5.625156e-16
8.0,-96826.31,-18.78256,1.69825e-13,0.7218209,2.204591,-5.943019e-16
9.0,-96841.22,-10.21945,1.698213e-13,0.6157902,2.156105,-6.182135e-16
10.0,-96849.19,-1.085429,1.698208e-13,0.6016759,2.111585,-6.533615e-16
11.0,-96848.79,8.297676,1.698211e-13,0.6464862,2.089368,-6.421902e-16
12.0,-96848.64,11.71091,1.698259e-13,0.7404295,2.127358,-7.239979e-16
13.0,-96845.13,15.9803,1.698292e-13,0.881444,2.241607,-6.7983e-16
14.0,-96844.66,15.73429,1.698335e-13,1.099152,2.489063,-7.100447e-16
15.0,-96849.4,13.08062,1.698396e-13,1.357163,2.935068,-7.505303e-16
16.0,-96852.57,14.56455,1.698435e-13,1.61151,3.577528,-7.940066e-16
17.0,-96862.22,12.83929,1.698524e-13,1.721534,3.963435,-8.398303e-16
18.0,-96869.62,13.98527,1.698584e-13,1.772596,4.037168,-8.87665e-16
19.0,-96877.73,19.07474,1.698666e-13,1.810601,3.999398,-8.773975e-16
20.0,-96888.86,21.54831,1.698755e-13,1.850368,3.930751,-8.582377e-16
21.0,-96896.84,28.96077,1.698822e-13,1.89674,3.854097,-8.287624e-16
22.0,-96907.59,38.3847,1.698914e-13,1.9459,3.779502,-7.983973e-16
23.0,-96918.37,44.63061,1.698977e-13,1.992771,3.710322,-7.677782e-16
24.0,-96927.99,55.07804,1.699044e-13,2.040399,3.639708,-7.456681e-16
25.0,-96939.9,62.25248,1.69911e-13,2.087747,3.56799,-7.314165e-16
26.0,-96950.47,70.47642,1.699154e-13,2.13329,3.497114,-7.242686e-16
27.0,-96960.99,81.67893,1.699202e-13,2.174454,3.428794,-7.169693e-16
28.0,-96972.99,89.63613,1.699232e-13,2.210363,3.36316,-7.136624e-16
29.0,-96983.1,103.3321,1.699266e-13,2.24177,3.301484,-7.064509e-16
30.0,-96993.97,114.8378,1.699289e-13,2.266849,3.243433,-7.210961e-16
31.0,-97004.01,127.5328,1.699297e-13,2.28692,3.189475,-7.376235e-16
32.0,-97014.16,142.481,1.699316e-13,2.299926,3.140653,-7.445066e-16
33.0,-97024.07,151.8077,1.699299e-13,2.308063,3.097084,-7.611886e-16
34.0,-97032.52,166.0606,1.699301e-13,2.313029,3.059168,-7.92931e-16
35.0,-97040.44,177.1563,1.699283e-13,2.316194,3.020174,-8.080431e-16
36.0,-97047.52,187.4448,1.699251e-13,2.315639,2.982159,-7.991512e-16
37.0,-97055.03,195.7533,1.699223e-13,2.318121,2.943131,-7.95547e-16
38.0,-97060.76,202.4223,1.69917e-13,2.322085,2.903566,-7.86518e-16
