Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-926121.2,53651.73,1.719521e-12,0.006349981,0.05168454,-3.839565e-15
2.0,-254941.4,8415.665,4.656287e-13,0.05791192,0.2340656,-1.220797e-14
3.0,-44157.08,-4195.195,7.305485e-14,0.07468624,0.2184882,-1.490084e-15
4.0,-72844.1,-1562.345,1.271031e-13,0.1236912,0.3115335,-1.998995e-15
5.0,-99385.77,262.9873,1.765745e-13,0.2282607,0.5069539,-3.393078e-15
6.0,-101787.6,346.6862,1.810144e-13,0.2598211,0.5776261,-3.676387e-15
7.0,-99574.08,184.7671,1.769064e-13,0.2737269,0.6123874,-4.09524e-15
8.0,-98823.21,142.3592,1.755175e-13,0.2796729,0.6283364,-4.338478e-15
9.0,-98842.48,147.1218,1.755554e-13,0.2773522,0.6290271,-4.4788e-15
10.0,-98891.48,150.6743,1.756514e-13,0.2714622,0.6207919,-4.505767e-15
11.0,-98877.04,149.8387,1.756297e-13,0.2648051,0.6088839,-4.478832e-15
12.0,-98869.6,149.8465,1.756208e-13,0.2585957,0.5964956,-4.427208e-15
13.0,-98900.22,150.5627,1.756794e-13,0.2533133,0.5849593,-4.347095e-15
14.0,-98830.12,150.8526,1.755598e-13,0.2490253,0.5744914,-4.259468e-15
15.0,-98828.72,151.6813,1.755631e-13,0.2455447,0.5654343,-4.187157e-15
16.0,-98809.96,152.4728,1.755351e-13,0.2428627,0.5575999,-4.114563e-15
17.0,-98779.23,153.5138,1.754864e-13,0.240793,0.5509034,-4.071677e-15
18.0,-98741.01,154.3827,1.754242e-13,0.2396261,0.5453078,-3.929406e-15
19.0,-98685.46,155.3343,1.753312e-13,0.2391193,0.5406508,-3.84728e-15
20.0,-98656.07,156.6007,1.75285e-13,0.2390266,0.5368515,-3.775723e-15
21.0,-98613.74,158.1459,1.752164e-13,0.2393888,0.5338122,-3.710007e-15
22.0,-98609.35,159.8368,1.752151e-13,0.2403272,0.5314548,-3.618419e-15
23.0,-98626.55,162.1452,1.752532e-13,0.2416879,0.5297243,-3.536963e-15
24.0,-98632.4,163.8219,1.752701e-13,0.2432526,0.5285377,-3.45721e-15
25.0,-98663.38,166.4249,1.75333e-13,0.2452486,0.5278492,-3.460777e-15
26.0,-98692.97,168.4475,1.753926e-13,0.2475875,0.5275604,-3.441552e-15
27.0,-98762.96,170.4402,1.755234e-13,0.2501391,0.5275671,-3.433914e-15
28.0,-98734.1,172.456,1.754788e-13,0.2528695,0.5278262,-3.436366e-15
29.0,-98745.81,174.109,1.755056e-13,0.255759,0.528315,-3.457844e-15
30.0,-98765.95,176.4063,1.755484e-13,0.258792,0.5290321,-3.50289e-15
31.0,-98757.45,178.0477,1.755392e-13,0.2619486,0.5298941,-3.547166e-15
32.0,-98701.47,179.5509,1.754456e-13,0.265233,0.5308442,-3.590519e-15
33.0,-98680.81,181.131,1.754144e-13,0.2685259,0.5319389,-3.627118e-15
34.0,-98623.59,182.5647,1.753187e-13,0.2718411,0.533125,-3.66215e-15
35.0,-98618.19,184.2631,1.753149e-13,0.2751607,0.5343773,-3.697301e-15
36.0,-98603.76,185.6922,1.75295e-13,0.278717,0.5356392,-3.722098e-15
37.0,-98509.25,186.8654,1.751327e-13,0.2823252,0.5369478,-3.736153e-15
38.0,-98454.91,188.0658,1.750417e-13,0.2859459,0.538299,-3.718668e-15
39.0,-98471.32,189.4303,1.750763e-13,0.2896854,0.5397065,-3.663254e-15
40.0,-98535.04,191.0995,1.751958e-13,0.2936073,0.5412048,-3.602231e-15
41.0,-98522.07,192.3818,1.751789e-13,0.2975396,0.5428318,-3.535776e-15
42.0,-98494.35,193.961,1.751365e-13,0.3015207,0.5445557,-3.478097e-15
43.0,-98500.2,195.6125,1.751538e-13,0.3056203,0.5463425,-3.428935e-15
44.0,-98513.62,196.9537,1.751842e-13,0.309796,0.5481751,-3.400161e-15
45.0,-98525.88,198.4736,1.752127e-13,0.3140171,0.5501868,-3.388835e-15
46.0,-98566.06,199.932,1.752904e-13,0.3183385,0.5522663,-3.352414e-15
47.0,-98607.16,201.4944,1.753697e-13,0.3227499,0.5544373,-3.323352e-15
48.0,-98643.13,203.0068,1.754402e-13,0.3271722,0.5567157,-3.307727e-15
49.0,-98728.38,204.76,1.755981e-13,0.3316665,0.5590831,-3.306037e-15
50.0,-98731.19,205.7503,1.756085e-13,0.3361921,0.5615054,-3.311502e-15
51.0,-98740.0,208.1512,1.756319e-13,0.3407593,0.5640755,-3.296105e-15
52.0,-98741.35,209.5716,1.756403e-13,0.3453594,0.5667513,-3.271177e-15
53.0,-98852.62,211.4323,1.758443e-13,0.3499481,0.569565,-3.262812e-15
54.0,-98978.72,213.4724,1.760742e-13,0.3545452,0.5724654,-3.25756e-15
