Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,1.925146,134.924,-1.403269e-15,1.064037e-05,0.949243,-8.479681e-20
2.0,1.03183,45.73665,-1.3996e-15,1.257168e-05,0.9486494,-3.054505e-21
3.0,0.2328102,-9.675612,-1.400444e-15,1.301878e-05,0.9480347,1.379787e-18
4.0,0.1811768,-8.355976,-1.400963e-15,1.343825e-05,0.947589,3.003993e-18
5.0,0.0172011,1.618988,-1.401006e-15,1.339512e-05,0.9478329,4.596851e-18
6.0,-0.08062627,5.042781,-1.401001e-15,1.272044e-05,0.9491509,7.008214e-18
7.0,-0.07512462,5.121045,-1.401026e-15,1.119396e-05,0.9527671,9.928929e-18
8.0,-0.02379859,5.092446,-1.401047e-15,8.246064e-06,0.9589443,1.241182e-17
9.0,0.01758994,5.324828,-1.401062e-15,4.236941e-06,0.9688814,1.378353e-17
10.0,0.003689118,5.674803,-1.401061e-15,1.221614e-06,0.9841552,1.348492e-17
11.0,-0.01097987,5.68552,-1.401048e-15,-1.830749e-06,1.006293,1.405876e-17
12.0,-0.01685074,5.96371,-1.401023e-15,-1.319553e-06,1.036182,1.302586e-17
13.0,-0.02100503,6.111937,-1.401002e-15,-4.974631e-06,1.074303,1.081316e-17
14.0,-0.05255631,6.108594,-1.400967e-15,-1.495803e-05,1.11932,8.554796e-18
15.0,-0.06168071,5.977685,-1.400925e-15,-2.47356e-05,1.172093,7.637278e-18
16.0,-0.1013815,5.824262,-1.400885e-15,-3.211247e-05,1.23196,8.746454e-18
17.0,-0.1421316,5.748049,-1.400841e-15,-0.0001043442,1.300189,1.606541e-17
18.0,-0.1008932,5.582638,-1.400794e-15,-0.0001300091,1.378808,3.090532e-17
19.0,-0.06600903,5.266942,-1.40074e-15,-0.0001382929,1.461105,4.589568e-17
20.0,-0.04099213,5.141817,-1.400676e-15,-0.0001540373,1.544417,2.439602e-17
21.0,-0.03087462,5.164142,-1.400633e-15,-0.0001468772,1.63249,7.427527e-18
22.0,-0.06754326,5.066507,-1.400595e-15,-0.0001281594,1.728435,3.613855e-18
23.0,-0.02914451,4.777267,-1.400559e-15,-0.0001036916,1.839173,5.456153e-18
24.0,-0.0431853,4.638169,-1.40051e-15,-5.340973e-05,1.975117,9.315324e-18
25.0,-0.1181215,4.404725,-1.400415e-15,-8.301868e-07,2.132927,1.238635e-17
26.0,-0.09538101,4.711985,-1.400409e-15,1.340222e-05,2.311766,2.060758e-17
27.0,-0.09506473,4.954493,-1.400391e-15,8.970627e-05,2.50485,2.375674e-17
28.0,-0.09784101,5.03012,-1.40036e-15,0.0001757048,2.720741,2.611004e-17
29.0,-0.08967648,4.995219,-1.400332e-15,0.0002849934,2.952268,1.895857e-17
30.0,0.08885064,4.831437,-1.400325e-15,0.0003552687,3.213802,3.91332e-18
31.0,-0.05525894,5.319425,-1.400315e-15,0.0004190449,3.499457,-5.170972e-18
32.0,-0.1105306,5.947662,-1.400339e-15,0.0004552198,3.82385,-9.629557e-18
33.0,-0.05106198,6.411423,-1.40022e-15,0.0003720044,4.190131,-1.676284e-17
34.0,-0.07644698,6.823145,-1.400138e-15,0.0001891116,4.576914,-1.834103e-17
35.0,-0.0720893,7.113315,-1.400091e-15,1.057785e-05,4.979266,-1.884689e-17
36.0,-0.05963651,7.998458,-1.400092e-15,-0.0002926444,5.402944,-1.905496e-17
37.0,0.05805087,7.990212,-1.400001e-15,-0.000753485,5.851334,-1.907459e-17
38.0,0.00488062,8.042235,-1.399953e-15,-0.0009811896,6.31853,-2.055803e-17
39.0,-0.0005803982,8.497812,-1.399942e-15,-0.0009088849,6.771723,-2.253119e-17
40.0,0.2137285,9.301211,-1.399967e-15,-0.0005563828,7.213037,-2.386328e-17
41.0,0.08801221,9.965629,-1.399866e-15,-0.0004753944,7.6142,-2.44011e-17
42.0,0.003935192,10.51252,-1.39978e-15,-0.0002016749,7.969765,-2.371041e-17
43.0,-0.005279232,11.43333,-1.39977e-15,-0.001712728,8.31386,-2.059921e-17
44.0,-0.07796106,12.93572,-1.39984e-15,-0.001683549,8.61301,-1.809337e-17
45.0,0.03057298,13.81275,-1.399853e-15,-0.001788719,8.853137,-1.657127e-17
46.0,0.01180016,13.28331,-1.39977e-15,-0.001778271,9.012738,-1.630217e-17
47.0,0.0008645149,12.40774,-1.39969e-15,-0.001103321,9.085734,-1.542868e-17
48.0,-0.01978637,12.12603,-1.399674e-15,-0.0005744918,9.085328,-1.453012e-17
49.0,-0.02327833,12.45808,-1.399692e-15,-0.00018906,9.035804,-1.420726e-17
50.0,-0.0204034,13.2661,-1.399745e-15,7.228799e-05,8.959449,-1.491505e-17
51.0,-0.06055936,14.57535,-1.399878e-15,0.0002233727,8.868714,-1.441703e-17
52.0,-0.07090427,16.59139,-1.400073e-15,0.0005176107,8.772481,-1.664308e-17
53.0,-0.02800274,19.22177,-1.400332e-15,-0.0001227448,8.670855,-1.9589e-17
54.0,-0.1013447,21.2726,-1.400535e-15,0.0002853343,8.567816,-1.92962e-17
55.0,-0.09875868,20.79442,-1.400598e-15,0.0004880935,8.46036,-1.88467e-17
56.0,-0.05578602,16.90408,-1.400454e-15,0.0006160996,8.358692,-1.868719e-17
