Iter,min,max
0,4.331069,5.494433
100,23.46781,464.1567
200,16.28704,399.7663
300,21.29882,311.4016
400,6.108901,247.7113
500,9.562218,265.4121
600,13.28041,245.4748
700,3.842815,217.2345
800,4.883379,227.7382
900,1.59509,223.6736
1000,8.3521,239.4899
1100,15.9939,249.2318
1200,8.227442,247.2659
1300,21.40084,270.5562
1400,4.998746,258.8071
1500,13.89455,254.2848
1600,3.368002,259.2022
1700,12.12701,252.892
1800,5.385346,260.5926
1900,19.22549,257.8259
2000,6.027012,258.0466
2100,8.051827,257.6098
2200,2.133001,259.1369
2300,1.840739,250.8622
2400,7.171302,254.1898
2500,9.558821,254.6959
2600,10.58335,257.7926
2700,4.274903,250.4479
2800,8.431925,247.4289
2900,10.78816,252.2962
3000,7.44933,258.2237
