Iter,min,max
0,0.008128801,7.344092
100,0.2021897,257.3003
200,0.8510269,347.3795
300,11.72865,435.585
400,40.91841,466.0126
500,53.57268,468.3584
600,31.33248,468.4587
700,2.705505,468.6974
800,13.95415,468.8986
900,4.42961,469.0718
1000,5.174181,470.1351
1100,6.201943,471.585
1200,6.209379,471.4569
1300,6.787956,473.4552
1400,12.22825,476.0669
1500,13.50992,472.8879
1600,26.93103,472.73
1700,28.17347,472.5667
1800,13.64966,473.1824
1900,11.76916,473.7204
2000,9.425858,474.266
2100,16.07265,474.9369
2200,25.2167,475.1391
2300,18.00372,474.7244
2400,7.906641,474.502
2500,27.65426,474.3688
2600,62.58668,474.302
2700,49.15586,474.6376
2800,6.995895,474.5578
2900,4.005809,474.1012
3000,14.27944,473.4835
3100,4.57636,472.7569
3200,11.66493,472.8098
3300,12.56944,472.9033
3400,9.088733,472.9012
3500,6.647191,472.458
3600,19.86668,471.693
3700,10.20647,471.8138
3800,8.006448,472.3002
3900,9.866105,472.5353
4000,3.115563,472.2476
4100,8.848103,471.1619
4200,3.747358,472.0821
4300,9.67808,472.8054
4400,5.594998,472.9936
4500,39.45098,472.1347
4600,17.86396,471.8235
4700,0.9576302,473.1286
4800,5.52522,473.7561
4900,5.976042,473.211
5000,26.98563,471.5583
5100,16.20051,473.4604
5200,23.0026,474.4252
5300,3.662662,474.2843
5400,32.7396,472.0052
5500,27.10391,473.7556
5600,14.61909,474.6094
5700,24.74115,474.1622
5800,22.53164,472.9345
5900,13.57949,473.6405
6000,9.496031,475.826
6100,9.798572,474.597
6200,44.84582,473.2564
6300,14.25939,473.9348
6400,14.35166,476.001
6500,17.74772,476.2428
6600,3.883764,475.8801
6700,10.30536,478.1302
6800,24.4852,483.8775
6900,10.52278,483.7877
7000,21.75114,484.4536
