Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-480.6036,21.33702,8.6282e-16,-1.30198e-05,0.000368366,-1.174208e-17
2.0,954.4579,-69.19155,-1.792615e-15,-0.005697759,-0.05525935,1.430446e-15
3.0,1067.288,-11.64558,-1.967618e-15,0.5910714,1.424426,1.431221e-16
4.0,996.8903,-112.2571,-1.673532e-15,0.5278743,1.07422,-6.400852e-19
5.0,-294.7212,88.14819,8.628188e-16,0.4093757,0.7511888,-1.076798e-16
6.0,-426.3335,-14.63186,7.123362e-16,0.3251769,0.5931954,5.612003e-18
7.0,-699.2523,121.4707,1.34519e-15,0.2487528,0.3371791,-1.231736e-16
8.0,-645.2398,87.34493,1.223159e-15,0.306118,0.1664024,-1.327482e-17
9.0,-700.9882,103.3496,1.353622e-15,0.444612,0.08609453,-4.222078e-17
10.0,-692.0753,110.7018,1.344239e-15,-0.1324808,-0.4054969,-4.423082e-17
11.0,-586.3377,169.8849,1.221068e-15,0.5721082,-0.1347956,-3.46089e-17
12.0,-364.9869,169.3817,8.153487e-16,0.7823548,-0.2413224,6.649101e-17
13.0,-360.3316,163.2364,8.104499e-16,0.4743421,-0.169028,-7.810443e-18
14.0,-378.3856,174.1864,8.791e-16,0.01580172,-0.05588947,-1.700102e-17
15.0,-394.3631,173.7975,9.247791e-16,0.09418594,0.01639971,-7.716406e-18
16.0,-456.5032,194.5528,1.071559e-15,0.09643587,0.04112227,-2.707828e-17
17.0,-480.1167,193.3503,1.154664e-15,0.1376775,0.04267886,-2.324309e-17
18.0,-505.8896,188.771,1.254463e-15,0.154347,0.02829047,-2.52739e-17
19.0,-546.5105,189.473,1.412862e-15,0.1351375,0.1061204,-3.051802e-17
20.0,-547.261,183.724,1.483452e-15,0.1718475,0.1186578,-2.488207e-17
21.0,-567.2441,201.0594,1.615596e-15,0.1654819,0.1925976,-3.847326e-17
22.0,-548.641,223.506,1.696516e-15,0.2212758,0.2450045,-3.033798e-17
23.0,-543.8544,245.0891,1.780576e-15,0.2542967,0.296022,-3.22717e-17
24.0,-548.0453,274.3131,1.884885e-15,0.2917136,0.3546905,-3.480748e-17
25.0,-538.4398,297.9339,1.952378e-15,0.3261818,0.4264181,-2.688635e-17
26.0,-549.9704,322.6133,2.047384e-15,0.374324,0.4821069,-3.224e-17
27.0,-621.3568,336.9258,2.223761e-15,0.4238905,0.534467,-4.481365e-17
28.0,-717.4339,338.2473,2.40676e-15,0.484431,0.582003,-5.223621e-17
29.0,-745.364,349.6812,2.469356e-15,0.5059266,0.6353733,-4.043157e-17
30.0,-797.0096,353.4916,2.535906e-15,0.5348777,0.658837,-4.487291e-17
31.0,-867.7586,367.7915,2.642144e-15,0.568572,0.6704235,-5.669234e-17
32.0,-863.038,372.0224,2.601315e-15,0.5983921,0.7073865,-3.880324e-17
33.0,-885.095,380.8012,2.589972e-15,0.6155188,0.7204204,-5.129866e-17
34.0,-898.1518,388.882,2.567284e-15,0.604273,0.6984338,-6.401902e-17
35.0,-926.3515,396.4109,2.554914e-15,0.5876966,0.6911613,-9.006728e-17
36.0,-969.6856,403.8997,2.569665e-15,0.5606056,0.6786293,-8.154527e-17
37.0,-1004.27,407.7981,2.56852e-15,0.5206738,0.6656629,-5.9545e-17
38.0,-1017.13,410.3337,2.535467e-15,0.4798633,0.6510849,-3.273405e-17
39.0,-1025.701,410.5304,2.485913e-15,0.4397668,0.6436474,-4.199917e-17
40.0,-1033.533,410.3208,2.438225e-15,0.3849224,0.6178916,-4.621715e-18
41.0,-1036.116,409.786,2.401485e-15,0.3695524,0.6260613,-3.480397e-17
42.0,-1035.425,406.088,2.35448e-15,0.3532396,0.6218166,-1.993805e-17
43.0,-1025.277,398.7327,2.283394e-15,0.3217461,0.5918467,-1.44402e-17
44.0,-1006.092,390.7325,2.199835e-15,0.3156957,0.5904451,-6.324541e-17
45.0,-981.1348,384.8781,2.112011e-15,0.2631948,0.5354319,-3.185788e-17
46.0,-959.2751,379.5117,2.036623e-15,0.2499852,0.5341489,-4.439108e-17
47.0,-923.5328,372.7288,1.935287e-15,0.2266256,0.515628,-2.070003e-17
48.0,-898.7106,365.9725,1.864064e-15,0.2121938,0.5055656,-3.033457e-17
49.0,-848.9277,357.2569,1.750501e-15,0.1567173,0.4885073,-7.755579e-18
50.0,-845.4075,348.975,1.723437e-15,0.1588316,0.4508887,-1.984159e-17
51.0,-836.0135,337.0561,1.68568e-15,0.1544666,0.4145512,-2.057492e-17
52.0,-790.2937,322.3275,1.58289e-15,0.1434898,0.3803308,-1.815195e-17
53.0,-781.569,313.8431,1.550951e-15,0.1377956,0.3483947,-3.145334e-17
54.0,-763.8223,303.5587,1.501337e-15,0.1294826,0.3168872,-3.316943e-17
55.0,-711.6323,291.0462,1.389775e-15,0.1190052,0.2938969,-3.659888e-17
56.0,-697.1548,285.0734,1.351446e-15,0.106596,0.27403,-4.732814e-17
57.0,-653.2899,274.2125,1.26222e-15,0.09287653,0.2513592,-1.472097e-17
58.0,-630.3286,267.3173,1.219166e-15,0.07367822,0.2269043,-2.440122e-17
59.0,-608.8598,260.7725,1.18505e-15,0.05739877,0.2042295,-1.006096e-17
60.0,-561.2296,252.0908,1.109638e-15,0.04631153,0.1887158,-3.225057e-18
61.0,-536.955,246.716,1.078003e-15,0.04878859,0.1916297,-9.259052e-18
62.0,-517.6034,242.4229,1.056386e-15,0.04153403,0.1851615,-9.628054e-18
63.0,-487.0231,237.6744,1.01749e-15,0.0433487,0.1908801,-1.12155e-17
64.0,-453.9162,233.1082,9.742283e-16,0.04366822,0.196018,-1.097343e-17
65.0,-423.2654,231.5264,9.408003e-16,0.0434117,0.2032085,-1.622442e-17
66.0,-395.9886,231.9519,9.159932e-16,0.04342327,0.2103372,-1.939148e-17
67.0,-366.1368,234.029,8.85013e-16,0.04635669,0.2175525,-2.044742e-17
68.0,-337.6639,237.2756,8.53693e-16,0.05235822,0.2252323,-1.945564e-17
69.0,-307.9657,240.6538,8.15969e-16,0.06252304,0.233261,-1.994436e-17
70.0,-276.7612,243.2421,7.722674e-16,0.07450112,0.2404506,-2.159154e-17
71.0,-245.4088,244.705,7.235815e-16,0.08839322,0.2444383,-2.612093e-17
72.0,-218.3001,244.0033,6.785657e-16,0.1082491,0.2455877,-1.802151e-17
73.0,-185.4804,242.1551,6.170937e-16,0.1238688,0.2439028,-1.012071e-17
74.0,-160.9794,238.2737,5.65442e-16,0.1430966,0.2382574,-9.125727e-18
75.0,-144.5574,234.3688,5.283652e-16,0.1617715,0.2341268,-1.574813e-17
76.0,-122.6325,228.3304,4.718887e-16,0.1732863,0.2262851,-7.938914e-18
77.0,-110.7271,223.8941,4.357636e-16,0.1849955,0.223148,-1.201122e-17
