,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-0.8087107,5.162332,-1.472472e-08,0.01057878,0.008409719,5.419015e-08
2.0,135.5672,-67.25687,-6.046442e-06,0.01699762,0.06660091,7.687219e-07
3.0,-73.87785,3234.517,-3.007834e-05,0.07718307,0.06787631,3.03916e-08
4.0,-127.4443,4804.102,-4.555338e-05,0.1234724,0.07942534,2.832723e-08
5.0,213.4939,4460.842,-4.839527e-05,0.1549292,0.08886313,1.8511e-08
6.0,342.879,4470.593,-5.152511e-05,0.1687449,0.0840579,3.014546e-08
7.0,402.0374,5128.757,-4.969512e-05,0.1909213,0.08538554,3.302672e-08
8.0,448.7713,5436.269,-4.326837e-05,0.2017191,0.08420788,3.721821e-08
9.0,396.2438,6271.122,-3.376874e-05,0.2104012,0.08446324,3.948399e-08
10.0,413.5617,6490.5,-2.068963e-05,0.2143597,0.08349515,4.337234e-08
11.0,391.097,6814.747,-5.780769e-06,0.2142873,0.08156327,4.453341e-08
12.0,379.7327,7027.793,8.464345e-06,0.2130187,0.0808474,4.837135e-08
13.0,363.3644,7180.968,2.132379e-05,0.207738,0.07892792,5.052584e-08
14.0,342.6556,7316.662,3.231545e-05,0.2014856,0.07781697,5.236563e-08
15.0,313.0026,7451.8,4.12144e-05,0.1926993,0.07614749,5.343563e-08
16.0,281.5447,7569.971,4.797871e-05,0.1840232,0.07488767,5.451709e-08
17.0,252.5146,7652.292,5.278495e-05,0.1706345,0.07314547,5.650556e-08
18.0,221.5506,7727.252,5.562484e-05,0.1584487,0.07280855,5.787355e-08
19.0,200.3986,7730.36,5.697147e-05,0.1484889,0.07327736,5.929545e-08
20.0,188.8084,7674.98,5.732356e-05,0.1331806,0.07213739,6.149189e-08
21.0,192.2828,7544.658,5.705896e-05,0.1227997,0.07411322,6.352447e-08
22.0,211.1445,7361.734,5.617878e-05,0.113086,0.07698573,6.598446e-08
23.0,256.1411,7070.979,5.481492e-05,0.1048573,0.0814668,6.901642e-08
24.0,317.3851,6742.684,5.3038e-05,0.09802774,0.08580224,7.194121e-08
25.0,380.8788,6450.141,5.096845e-05,0.09487732,0.09115073,7.470777e-08
26.0,426.7691,6275.311,4.899924e-05,0.0926297,0.09614043,7.694309e-08
27.0,456.7157,6227.692,4.714701e-05,0.09504741,0.1033644,7.943052e-08
28.0,460.4068,6350.638,4.550734e-05,0.1000457,0.1134276,8.177778e-08
29.0,459.388,6529.436,4.431737e-05,0.1089783,0.1272215,8.433879e-08
30.0,457.824,6711.686,4.351779e-05,0.1189815,0.1436189,8.702954e-08
31.0,468.9397,6829.236,4.348173e-05,0.1344054,0.1595954,8.953547e-08
32.0,487.1063,6919.28,4.420201e-05,0.1558757,0.1761262,9.184333e-08
33.0,509.9908,6971.552,4.541155e-05,0.1809035,0.1929745,9.436329e-08
34.0,546.6787,6905.071,4.720544e-05,0.2078661,0.2058422,9.690912e-08
35.0,590.8872,6765.638,4.959903e-05,0.2431376,0.2147909,9.917171e-08
36.0,629.109,6631.997,5.230617e-05,0.2841529,0.2222033,1.014592e-07
37.0,657.1864,6540.021,5.5102e-05,0.3330384,0.2297799,1.0415e-07
38.0,679.287,6468.341,5.791319e-05,0.389758,0.239812,1.076784e-07
39.0,695.9136,6424.087,6.059432e-05,0.4552533,0.2549191,1.124885e-07
40.0,708.1731,6393.189,6.318036e-05,0.5280744,0.2746593,1.184913e-07
41.0,718.4259,6366.479,6.575069e-05,0.6087637,0.2976131,1.260722e-07
42.0,717.9744,6362.61,6.808574e-05,0.6890314,0.3242851,1.35791e-07
43.0,713.59,6379.088,7.045313e-05,0.7777234,0.3508554,1.472747e-07
44.0,697.5313,6432.505,7.2625e-05,0.8667479,0.3799005,1.609374e-07
45.0,679.1919,6503.039,7.455995e-05,0.9582759,0.4085264,1.767286e-07
46.0,669.7154,6544.988,7.610087e-05,1.053992,0.4406916,1.951611e-07
47.0,687.0622,6500.537,7.691841e-05,1.155364,0.478262,2.178435e-07
48.0,705.1314,6448.977,7.724095e-05,1.255063,0.5147769,2.405409e-07
49.0,741.3936,6346.547,7.719127e-05,1.362801,0.5550927,2.652603e-07
