Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-480.6036,21.33702,8.6282e-16,-1.301978e-05,0.000368366,-1.174208e-17
2.0,2720.849,-124.1765,-4.945481e-15,-0.01027125,-0.09839013,3.449934e-15
3.0,1163.743,58.74853,-1.792754e-15,-0.01856802,-0.1714325,-2.061764e-16
4.0,252.0558,-208.4404,-6.31448e-16,-0.06541176,-0.2941169,-4.995143e-17
5.0,-494.6753,91.66948,1.258086e-15,-0.08592573,-0.3659393,-3.30825e-16
6.0,-486.744,-51.66754,9.804782e-16,-0.1459399,-0.3942395,1.096745e-17
7.0,-822.8569,98.4508,1.79487e-15,-0.1220895,-0.3328653,-1.230729e-16
8.0,-616.0597,-34.86131,1.112142e-15,-0.1290225,-0.333046,2.270561e-17
9.0,-702.4755,96.60155,1.4695e-15,-0.1013295,-0.2861233,-1.059131e-16
10.0,-279.9054,-20.88853,4.676298e-16,-0.08925128,-0.296195,6.333512e-17
11.0,-400.6159,73.36999,8.185247e-16,-0.09566361,-0.2601357,-6.313766e-17
12.0,-360.5959,58.18794,7.166873e-16,-0.05925172,-0.2557642,6.725941e-18
13.0,-380.031,57.38286,7.087492e-16,-0.05965543,-0.2037081,-1.234667e-17
14.0,-403.2998,65.23186,7.303122e-16,-0.06059327,-0.1809834,-5.687031e-18
15.0,-435.5158,61.82804,7.47632e-16,-0.07452477,-0.1615308,-1.64111e-17
16.0,-461.3637,70.0431,8.020197e-16,-0.08015933,-0.1265408,-1.706343e-17
17.0,-438.46,54.79731,7.410822e-16,-0.06541122,-0.106405,-6.877661e-18
18.0,-426.9219,36.0612,6.971383e-16,-0.05682718,-0.1040758,-7.855371e-18
19.0,-405.9515,12.99565,6.505802e-16,-0.0565676,-0.109023,-7.999959e-18
20.0,-387.3177,-6.012718,6.044384e-16,-0.05981448,-0.1242844,-7.069374e-18
21.0,-388.2448,-13.53051,6.145228e-16,-0.06309467,-0.1373434,-1.675913e-17
22.0,-375.3267,-27.92921,6.068548e-16,-0.06832299,-0.142257,-1.23886e-17
23.0,-366.3376,-42.95361,6.02521e-16,-0.06457417,-0.1612969,-1.341432e-17
24.0,-380.8994,-50.37852,6.571295e-16,-0.06505689,-0.1478373,-2.214324e-17
25.0,-415.7713,-65.84062,7.398368e-16,-0.05758706,-0.1584654,-3.190718e-17
26.0,-492.3457,-53.94018,9.241248e-16,-0.05373457,-0.1546588,-4.919329e-17
27.0,-484.6104,-49.26129,9.536659e-16,-0.04096849,-0.1473077,-2.378042e-17
28.0,-490.7734,-32.56761,1.025761e-15,-0.01880648,-0.1288722,-2.931974e-17
29.0,-537.9018,-3.432113,1.18762e-15,0.005279985,-0.09747994,-4.457804e-17
30.0,-562.3279,22.59286,1.295949e-15,0.03070226,-0.06406421,-3.750994e-17
31.0,-615.6836,58.32573,1.464051e-15,0.05843116,-0.01871974,-4.241181e-17
32.0,-651.3793,93.07732,1.63517e-15,0.09357405,0.04323906,-3.860959e-17
33.0,-722.323,146.7619,1.89545e-15,0.1381706,0.1109906,-5.165172e-17
34.0,-780.3373,185.0504,2.103432e-15,0.1923832,0.1821027,-1.895639e-17
35.0,-823.614,218.8254,2.248201e-15,0.2547371,0.2672334,-2.102819e-17
36.0,-861.6976,241.9236,2.33858e-15,0.3197999,0.3486469,-2.630977e-17
37.0,-901.3759,269.0243,2.401683e-15,0.3793277,0.4294189,-2.710915e-17
38.0,-930.4634,288.7237,2.408375e-15,0.4170855,0.4960851,-2.746251e-17
39.0,-949.3863,300.1305,2.374624e-15,0.4336546,0.5365515,-4.354674e-17
40.0,-961.4614,307.6703,2.348494e-15,0.4322074,0.5623039,-8.485885e-17
41.0,-962.6048,312.0138,2.315019e-15,0.4259405,0.5797368,-2.956095e-17
42.0,-953.0306,313.5026,2.262906e-15,0.4168691,0.5859186,-2.565547e-17
43.0,-934.9617,312.3527,2.189634e-15,0.4056686,0.5791967,-2.967817e-17
44.0,-910.146,307.9846,2.09825e-15,0.3890905,0.5617633,-2.825096e-17
45.0,-877.6499,308.2944,1.994032e-15,0.3701223,0.5389608,-2.050263e-17
46.0,-827.1803,301.628,1.862379e-15,0.3570006,0.5170521,-1.520411e-17
47.0,-807.6539,297.1404,1.800803e-15,0.3405453,0.4932535,-2.946817e-17
48.0,-771.9969,284.9563,1.700747e-15,0.3235319,0.4686427,-2.051467e-17
49.0,-746.152,275.9232,1.63128e-15,0.3064364,0.4460477,-2.343035e-17
50.0,-728.6635,266.3404,1.582251e-15,0.2878129,0.4231633,-2.206286e-17
51.0,-710.7721,253.9731,1.535364e-15,0.269541,0.4008673,-2.3939e-17
52.0,-683.4235,239.9361,1.475845e-15,0.2504399,0.3787345,-2.304812e-17
53.0,-674.6923,230.2868,1.458353e-15,0.2322129,0.3593008,-4.02203e-17
54.0,-660.4683,216.6447,1.430901e-15,0.2150091,0.3409798,-1.055904e-16
55.0,-634.0802,202.8662,1.383894e-15,0.1993287,0.3229248,-6.183399e-17
56.0,-611.9249,192.9725,1.34996e-15,0.185625,0.3073749,-8.204544e-17
57.0,-590.8107,185.0233,1.320737e-15,0.1744691,0.294422,-4.959728e-17
58.0,-570.6496,179.0109,1.295137e-15,0.1661016,0.283724,-4.625973e-17
59.0,-547.9716,174.4588,1.266666e-15,0.1605847,0.2764512,-3.932459e-17
60.0,-522.9802,171.5663,1.235781e-15,0.1577736,0.2727523,-3.460262e-17
61.0,-491.2082,166.1017,1.18928e-15,0.1570511,0.2702748,-2.813594e-17
62.0,-460.8755,164.8241,1.150368e-15,0.1592315,0.2720739,-3.442025e-17
63.0,-433.3996,164.823,1.11821e-15,0.1642034,0.277388,-4.077366e-17
64.0,-404.8958,165.7436,1.085414e-15,0.172383,0.2859037,-4.798755e-17
65.0,-377.6698,166.7722,1.054875e-15,0.1811527,0.2950842,-3.027988e-17
66.0,-352.2388,167.7887,1.027322e-15,0.1920437,0.3062551,-2.783293e-17
67.0,-326.9086,168.8294,9.999674e-16,0.2035138,0.3184717,-2.367246e-17
68.0,-300.0899,169.9922,9.703395e-16,0.2153378,0.3313077,-2.00867e-17
69.0,-275.2723,171.3845,9.444092e-16,0.2273665,0.3448378,-1.797769e-17
70.0,-251.6668,172.9748,9.202362e-16,0.2390839,0.3588321,-1.55878e-17
71.0,-229.0676,174.6931,8.957635e-16,0.2508933,0.3727368,-1.342151e-17
72.0,-207.5193,176.4988,8.709538e-16,0.2622311,0.3865761,-1.232323e-17
73.0,-187.0941,178.3984,8.467125e-16,0.2732209,0.400249,-1.157935e-17
74.0,-167.924,180.3666,8.237065e-16,0.2836849,0.4138463,-1.135106e-17
75.0,-150.0012,182.3966,8.021878e-16,0.2934044,0.4271684,-1.089119e-17
76.0,-133.3883,184.5379,7.831079e-16,0.302662,0.4409211,-1.107221e-17
77.0,-117.9065,186.7774,7.661584e-16,0.3111201,0.4546709,-1.092767e-17
78.0,-104.5615,189.0767,7.527508e-16,0.3189944,0.4682327,-1.162325e-17
79.0,-93.77197,191.3856,7.434255e-16,0.3266367,0.4817252,-1.228888e-17
80.0,-80.97754,194.1405,7.311025e-16,0.333366,0.4952163,-1.148534e-17
81.0,-67.65234,197.0399,7.181105e-16,0.3397309,0.508644,-1.125954e-17
82.0,-59.49227,199.1587,7.131026e-16,0.3466876,0.5218331,-1.257953e-17
83.0,-47.43046,202.2759,7.028113e-16,0.3537225,0.5352032,-1.09667e-17
84.0,-39.48794,204.6963,6.992415e-16,0.3609328,0.5480372,-1.171472e-17
85.0,-33.72689,206.8325,6.992575e-16,0.3682725,0.5609739,-1.217085e-17
86.0,-24.01537,209.9392,6.93962e-16,0.3759585,0.5740577,-1.104092e-17
87.0,-16.97178,212.0512,6.926233e-16,0.3839284,0.5869261,-1.148381e-17
88.0,-12.93935,213.261,6.95424e-16,0.3920393,0.5996919,-1.171358e-17
89.0,-6.905532,215.0213,6.959681e-16,0.4005768,0.6125451,-1.098677e-17
90.0,-1.046853,216.276,6.966118e-16,0.4095432,0.6252069,-1.054774e-17
91.0,1.830608,216.5276,7.010161e-16,0.4187511,0.6377167,-1.108348e-17
92.0,4.913843,216.956,7.057888e-16,0.4286639,0.6499984,-1.105723e-17
93.0,7.95178,217.25,7.106557e-16,0.4385648,0.6622374,-1.09486e-17
94.0,10.94303,217.3892,7.156436e-16,0.4493439,0.6743017,-1.106735e-17
95.0,13.88422,217.1741,7.206138e-16,0.4605694,0.6862154,-1.098071e-17
96.0,15.75151,216.3962,7.266703e-16,0.4720641,0.6975363,-1.187716e-17
97.0,16.32706,215.5961,7.341552e-16,0.4830075,0.708824,-1.218858e-17
98.0,16.07307,214.6127,7.428551e-16,0.4937983,0.7196747,-1.247899e-17
99.0,14.90038,213.3923,7.525188e-16,0.5041769,0.7302215,-1.27473e-17
100.0,12.49996,211.7482,7.63566e-16,0.5139384,0.7404514,-1.290752e-17
101.0,10.09403,210.8927,7.747736e-16,0.5232526,0.7506718,-1.304658e-17
102.0,8.004714,210.6848,7.856189e-16,0.5320145,0.7610877,-1.329094e-17
103.0,4.982699,210.3352,7.988224e-16,0.5412484,0.7725357,-1.379554e-17
104.0,3.009335,209.8065,8.09221e-16,0.549816,0.7826762,-1.360982e-17
105.0,0.1339823,210.1076,8.215031e-16,0.5577207,0.7942779,-1.386849e-17
106.0,-2.674521,209.9844,8.337985e-16,0.5658796,0.8055573,-1.381496e-17
107.0,-5.104637,210.4068,8.452511e-16,0.5740166,0.8171706,-1.386343e-17
108.0,-7.982559,211.3567,8.57013e-16,0.5802678,0.8289037,-1.419222e-17
109.0,-10.14739,212.4657,8.682251e-16,0.5871726,0.8406031,-1.419822e-17
110.0,-12.45803,214.336,8.796185e-16,0.5929925,0.8526592,-1.433357e-17
111.0,-14.44642,216.9853,8.91241e-16,0.5981249,0.8649452,-1.461215e-17
112.0,-15.30941,219.1351,9.009509e-16,0.6035143,0.876843,-1.412531e-17
113.0,-15.73394,220.8675,9.098026e-16,0.608968,0.8886541,-1.42188e-17
114.0,-16.09744,222.9321,9.188741e-16,0.6140849,0.9004194,-1.431235e-17
115.0,-16.09911,224.2615,9.270406e-16,0.6200295,0.91163,-1.459042e-17
116.0,-16.34588,225.1411,9.352577e-16,0.6260063,0.9226215,-1.483508e-17
117.0,-16.95724,226.4016,9.445212e-16,0.6322986,0.9335133,-1.52313e-17
118.0,-17.14502,227.0902,9.526951e-16,0.6390642,0.9439644,-1.518233e-17
119.0,-18.30018,227.6692,9.623959e-16,0.6463279,0.95437,-1.549801e-17
120.0,-19.25485,227.6198,9.70888e-16,0.6534572,0.9643237,-1.533952e-17
121.0,-21.65886,227.5027,9.81776e-16,0.6606887,0.9741924,-1.588952e-17
122.0,-23.15548,226.6285,9.898244e-16,0.6676347,0.9836336,-1.549065e-17
123.0,-25.38477,225.5756,9.988584e-16,0.6741493,0.9928844,-1.560708e-17
124.0,-27.6451,224.4645,1.007381e-15,0.6808578,1.001849,-1.538133e-17
125.0,-29.72213,223.3508,1.015265e-15,0.6871147,1.010653,-1.53928e-17
126.0,-32.48729,222.0043,1.024e-15,0.6934831,1.01909,-1.56046e-17
127.0,-34.76288,220.8931,1.031639e-15,0.6991575,1.027399,-1.609779e-17
128.0,-37.40694,219.5447,1.039604e-15,0.7047605,1.035477,-1.638713e-17
129.0,-39.9107,218.3686,1.047114e-15,0.7102628,1.043373,-1.598321e-17
130.0,-42.94576,216.8276,1.055031e-15,0.7162676,1.050975,-1.591552e-17
131.0,-45.56499,215.6365,1.062237e-15,0.7216023,1.058476,-1.650239e-17
132.0,-48.61755,213.9846,1.069636e-15,0.7268178,1.065712,-1.693006e-17
133.0,-51.83364,212.283,1.076794e-15,0.7323927,1.072707,-1.660956e-17
134.0,-54.4892,211.0208,1.083225e-15,0.7371036,1.079681,-1.706292e-17
135.0,-56.57034,210.295,1.088934e-15,0.7424428,1.086635,-1.673125e-17
136.0,-58.36645,209.4995,1.094007e-15,0.746806,1.093468,-1.7245e-17
137.0,-59.58511,209.1586,1.098222e-15,0.7516723,1.100268,-1.672086e-17
138.0,-60.29689,208.9361,1.101527e-15,0.7556511,1.10705,-1.722071e-17
139.0,-60.32903,209.1969,1.103886e-15,0.7598898,1.113826,-1.673879e-17
140.0,-59.89968,209.6342,1.105491e-15,0.7635089,1.120586,-1.710853e-17
141.0,-59.34789,210.3603,1.107098e-15,0.7671423,1.12731,-1.696339e-17
142.0,-58.4231,211.2633,1.10796e-15,0.7703351,1.134104,-1.64556e-17
143.0,-57.55105,212.193,1.109038e-15,0.7736006,1.140687,-1.696216e-17
144.0,-56.35057,213.3748,1.109634e-15,0.7764301,1.14736,-1.691675e-17
145.0,-55.30421,214.3988,1.110556e-15,0.7795339,1.153816,-1.69857e-17
146.0,-53.99296,215.6246,1.111189e-15,0.7826255,1.16034,-1.700435e-17
147.0,-52.82695,216.4415,1.111935e-15,0.7858582,1.166598,-1.69841e-17
148.0,-51.31256,217.4023,1.112272e-15,0.7892522,1.17289,-1.694236e-17
149.0,-49.78844,218.0739,1.112491e-15,0.7930641,1.178976,-1.688292e-17
150.0,-48.42771,218.3929,1.112692e-15,0.7967916,1.184893,-1.671439e-17
151.0,-47.36669,218.1374,1.113005e-15,0.8013346,1.190571,-1.695122e-17
152.0,-45.72846,218.2944,1.11275e-15,0.8061538,1.196349,-1.685163e-17
153.0,-44.53134,218.0663,1.112826e-15,0.8107841,1.201879,-1.707697e-17
154.0,-43.73805,217.6454,1.113213e-15,0.8156759,1.207299,-1.748922e-17
155.0,-43.10601,217.0414,1.113904e-15,0.8210036,1.212506,-1.747718e-17
156.0,-43.28347,216.1083,1.115274e-15,0.8254013,1.217619,-1.790893e-17
157.0,-44.00265,215.0546,1.117299e-15,0.830853,1.222402,-1.7707e-17
158.0,-45.18607,213.7722,1.119636e-15,0.8349258,1.227096,-1.827266e-17
159.0,-46.78326,212.3938,1.122304e-15,0.8402483,1.231471,-1.802997e-17
160.0,-48.41575,210.9826,1.124737e-15,0.8436545,1.235849,-1.850587e-17
161.0,-50.1457,209.6456,1.127067e-15,0.8483165,1.239921,-1.830722e-17
162.0,-52.07222,208.1147,1.129329e-15,0.8514619,1.243889,-1.866489e-17
163.0,-53.81397,206.9633,1.131245e-15,0.8555867,1.247659,-1.837713e-17
164.0,-55.64391,205.7334,1.133056e-15,0.8582581,1.251395,-1.872429e-17
165.0,-57.14387,204.971,1.134432e-15,0.8617867,1.25499,-1.832429e-17
166.0,-58.55526,204.2713,1.135578e-15,0.8639944,1.258557,-1.873082e-17
167.0,-59.73915,203.9197,1.136406e-15,0.8667734,1.262069,-1.84682e-17
168.0,-60.75009,203.6862,1.136956e-15,0.8685898,1.265534,-1.870994e-17
169.0,-61.52541,203.756,1.137165e-15,0.870899,1.268954,-1.841213e-17
170.0,-62.04625,203.922,1.137013e-15,0.8722995,1.272349,-1.865757e-17
171.0,-62.39511,204.222,1.136663e-15,0.8740271,1.275724,-1.846592e-17
172.0,-62.46609,204.752,1.135787e-15,0.8755918,1.279103,-1.826324e-17
173.0,-62.47618,205.1676,1.134947e-15,0.8768109,1.282334,-1.863738e-17
174.0,-62.2467,205.6959,1.133626e-15,0.877671,1.285585,-1.849222e-17
175.0,-62.25649,206.0755,1.132607e-15,0.8791357,1.288766,-1.848523e-17
176.0,-62.12,206.6295,1.131327e-15,0.8803568,1.291947,-1.841748e-17
177.0,-61.85836,207.0427,1.130122e-15,0.8813425,1.294886,-1.8553e-17
178.0,-61.53176,207.5014,1.128901e-15,0.882807,1.297934,-1.844992e-17
179.0,-61.17426,207.7998,1.12771e-15,0.8840458,1.300776,-1.843785e-17
180.0,-60.68361,208.1483,1.126397e-15,0.8857244,1.303686,-1.850147e-17
181.0,-60.23723,208.1677,1.125037e-15,0.8869254,1.30643,-1.836206e-17
182.0,-59.68309,208.2191,1.123522e-15,0.8888428,1.309121,-1.836509e-17
183.0,-59.24629,207.9136,1.121932e-15,0.8907065,1.311563,-1.825552e-17
184.0,-58.74309,207.6335,1.120216e-15,0.8928056,1.314084,-1.827383e-17
185.0,-58.42554,207.0621,1.118475e-15,0.8943904,1.316365,-1.813322e-17
186.0,-58.10115,206.4918,1.116653e-15,0.8966492,1.318679,-1.803541e-17
187.0,-57.95042,205.6942,1.114767e-15,0.8985371,1.32077,-1.782724e-17
188.0,-57.85809,204.883,1.112878e-15,0.9008335,1.322805,-1.775124e-17
189.0,-57.91231,203.9242,1.110933e-15,0.9023516,1.324748,-1.740873e-17
190.0,-58.03715,202.9588,1.109001e-15,0.9045724,1.326537,-1.714291e-17
191.0,-58.22912,201.9784,1.107036e-15,0.9061334,1.328242,-1.667806e-17
192.0,-58.43837,201.0082,1.105054e-15,0.9080733,1.329869,-1.613332e-17
193.0,-58.65728,200.1115,1.103108e-15,0.9093324,1.331392,-1.544757e-17
194.0,-58.81437,199.3972,1.101216e-15,0.9107931,1.3329,-1.452076e-17
195.0,-58.98882,198.5092,1.099209e-15,0.9123301,1.334209,-1.342626e-17
196.0,-59.07887,197.8643,1.097311e-15,0.9130779,1.335512,-1.24199e-17
197.0,-59.06867,197.4053,1.095395e-15,0.9142386,1.336783,-1.10749e-17
198.0,-58.98261,197.0492,1.09358e-15,0.9147202,1.338009,-9.938828e-18
199.0,-58.79115,196.8529,1.091755e-15,0.9156287,1.339179,-8.533613e-18
200.0,-58.57249,196.7069,1.090076e-15,0.915939,1.340351,-7.458028e-18
201.0,-58.3093,196.7364,1.088488e-15,0.9165793,1.341516,-6.574666e-18
202.0,-58.06397,196.7863,1.087086e-15,0.9167382,1.342635,-5.928049e-18
203.0,-57.79313,196.9865,1.085813e-15,0.917267,1.343803,-5.269646e-18
204.0,-57.5611,197.1639,1.084729e-15,0.9172849,1.344941,-4.812545e-18
205.0,-57.29887,197.4654,1.083753e-15,0.9177812,1.346101,-4.46648e-18
206.0,-57.08841,197.7025,1.082963e-15,0.9178398,1.347242,-4.248766e-18
207.0,-56.84553,198.041,1.082249e-15,0.9182805,1.348403,-4.083134e-18
208.0,-56.63397,198.2777,1.081655e-15,0.9183998,1.349492,-4.011773e-18
209.0,-56.37447,198.5948,1.081106e-15,0.9188561,1.350628,-3.993109e-18
210.0,-56.15075,198.7633,1.080655e-15,0.91905,1.351687,-3.910991e-18
211.0,-55.88568,198.9978,1.080249e-15,0.9195996,1.352726,-3.977902e-18
212.0,-55.66231,199.0602,1.079921e-15,0.919984,1.353714,-3.945703e-18
213.0,-55.40262,199.164,1.079634e-15,0.9205574,1.354685,-3.94888e-18
214.0,-55.1921,199.0965,1.079409e-15,0.9210317,1.355551,-3.925999e-18
215.0,-54.9718,199.0468,1.079239e-15,0.9217023,1.356446,-4.017394e-18
216.0,-54.81965,198.8262,1.079116e-15,0.9222121,1.357215,-3.90203e-18
217.0,-54.67234,198.6142,1.079043e-15,0.9229628,1.357959,-4.037678e-18
218.0,-54.60249,198.2619,1.079013e-15,0.9234879,1.358572,-3.926651e-18
219.0,-54.56168,197.9145,1.079041e-15,0.9242019,1.359163,-4.05692e-18
220.0,-54.59553,197.4608,1.079098e-15,0.9246487,1.359644,-3.974947e-18
221.0,-54.66508,197.0248,1.079212e-15,0.9253366,1.360028,-4.054517e-18
222.0,-54.7829,196.5241,1.079323e-15,0.9256783,1.360349,-4.000302e-18
223.0,-54.93655,196.0507,1.07948e-15,0.9261702,1.360599,-4.079407e-18
224.0,-55.1026,195.5602,1.0796e-15,0.9263654,1.360724,-4.035983e-18
225.0,-55.2767,195.1109,1.079721e-15,0.9266901,1.360766,-4.108991e-18
226.0,-55.43921,194.6774,1.079795e-15,0.926673,1.360711,-4.032801e-18
227.0,-55.55401,194.3262,1.079812e-15,0.9267286,1.360586,-4.118768e-18
228.0,-55.71654,193.9444,1.079851e-15,0.9267522,1.360305,-4.029884e-18
229.0,-55.86522,193.6139,1.079877e-15,0.9264389,1.359926,-4.09281e-18
230.0,-55.97927,193.3751,1.079872e-15,0.9261746,1.359455,-4.049609e-18
231.0,-56.07013,193.1796,1.079869e-15,0.9256509,1.358894,-4.08728e-18
232.0,-56.14253,193.0346,1.079836e-15,0.9251794,1.358225,-4.068611e-18
233.0,-56.20798,192.9139,1.079828e-15,0.9244651,1.35743,-4.086913e-18
234.0,-56.26199,192.8542,1.079818e-15,0.9237762,1.356504,-4.090899e-18
235.0,-56.31131,192.8048,1.079838e-15,0.9228709,1.355467,-4.098156e-18
236.0,-56.33618,192.8175,1.079848e-15,0.9220274,1.354339,-4.120281e-18
237.0,-56.34781,192.8233,1.079871e-15,0.9209754,1.353099,-4.118043e-18
238.0,-56.31255,192.882,1.079852e-15,0.9199886,1.351742,-4.153796e-18
239.0,-56.26636,192.9135,1.079842e-15,0.9187842,1.350244,-4.14713e-18
240.0,-56.17603,192.9897,1.079797e-15,0.9176706,1.34865,-4.211376e-18
241.0,-56.08147,193.02,1.079766e-15,0.9163607,1.346927,-4.205336e-18
242.0,-55.94821,193.0875,1.079708e-15,0.9151454,1.345112,-4.303774e-18
243.0,-55.81141,193.0928,1.079655e-15,0.9137618,1.343187,-4.296212e-18
244.0,-55.61814,193.1278,1.079544e-15,0.9124711,1.341176,-4.416823e-18
245.0,-55.42939,193.0884,1.07944e-15,0.9110197,1.339043,-4.414274e-18
246.0,-55.19551,193.0723,1.079293e-15,0.909687,1.336841,-4.569564e-18
247.0,-54.97817,192.9773,1.079163e-15,0.9081704,1.334578,-4.525434e-18
248.0,-54.71529,192.908,1.078997e-15,0.9068039,1.332249,-4.714579e-18
249.0,-54.50283,192.7637,1.078876e-15,0.905374,1.329847,-4.715938e-18
250.0,-54.29358,192.5712,1.078762e-15,0.9038594,1.327374,-4.741138e-18
251.0,-54.07109,192.4031,1.078655e-15,0.902393,1.32488,-4.892812e-18
252.0,-53.88556,192.1904,1.078559e-15,0.9008982,1.322309,-4.88911e-18
253.0,-53.69599,191.9307,1.078458e-15,0.8993199,1.319695,-4.932803e-18
254.0,-53.50948,191.6796,1.078362e-15,0.8977815,1.317049,-5.047577e-18
255.0,-53.34329,191.4312,1.078259e-15,0.8961936,1.314379,-5.084953e-18
