Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,824.2909,218.8649,1.177623e-15,0.121255,0.7428832,-6.401531e-18
2.0,1114.684,72.35251,1.432066e-15,0.1381549,0.7340687,-3.639754e-18
3.0,1157.855,-40.10518,1.355951e-15,0.2210591,0.8632036,-2.130412e-18
4.0,1170.451,-55.57232,1.279797e-15,0.4331573,1.248148,-7.673033e-19
5.0,1169.856,-47.8524,1.246545e-15,0.8267975,2.006071,1.070913e-18
6.0,1160.172,-39.13918,1.223892e-15,1.045185,2.632785,1.867476e-18
7.0,1136.345,-33.45326,1.212339e-15,0.9656659,2.662325,1.24896e-18
8.0,1113.011,-21.66694,1.204139e-15,0.8381619,2.559836,1.292933e-18
9.0,1095.665,-11.91575,1.199875e-15,0.715143,2.503548,1.268342e-18
10.0,1086.597,-1.174112,1.19898e-15,0.6987077,2.451842,1.624073e-18
11.0,1087.167,9.64877,1.199178e-15,0.7506244,2.426073,2.116807e-18
12.0,1087.198,13.47832,1.20485e-15,0.8597453,2.470226,2.03896e-18
13.0,1091.468,18.63284,1.208528e-15,1.023386,2.602887,2.502317e-18
14.0,1091.731,18.20062,1.213799e-15,1.27609,2.890179,2.383184e-18
15.0,1086.347,15.11549,1.220774e-15,1.575669,3.408112,2.324449e-18
16.0,1082.698,16.96436,1.225345e-15,1.870975,4.154136,1.981204e-18
17.0,1071.42,14.7758,1.235619e-15,1.998639,4.602187,1.304961e-18
18.0,1063.049,16.32956,1.242387e-15,2.057961,4.687781,1.052556e-18
19.0,1053.474,22.05262,1.252021e-15,2.102115,4.643919,1.155207e-18
20.0,1040.633,24.97304,1.26231e-15,2.148365,4.564228,1.13295e-18
21.0,1031.376,33.78846,1.270239e-15,2.202176,4.475255,1.231301e-18
22.0,1018.803,44.34089,1.280751e-15,2.2593,4.388608,1.228799e-18
23.0,1006.369,51.78855,1.288081e-15,2.313751,4.308281,1.212958e-18
24.0,995.2455,64.07852,1.295885e-15,2.369082,4.226325,1.200218e-18
25.0,981.2467,72.05533,1.303662e-15,2.424082,4.143056,1.214471e-18
26.0,969.0554,81.89472,1.308836e-15,2.476962,4.060786,1.27002e-18
27.0,956.7078,94.8213,1.314532e-15,2.524776,3.981486,1.207657e-18
28.0,942.834,104.0105,1.317876e-15,2.566521,3.905265,1.233105e-18
29.0,930.9907,119.7714,1.321883e-15,2.603002,3.833668,1.211881e-18
30.0,918.6234,133.4159,1.324356e-15,2.632148,3.766297,1.233141e-18
31.0,906.821,147.9093,1.325322e-15,2.655493,3.703648,1.264743e-18
32.0,895.1269,165.4338,1.327444e-15,2.670622,3.64699,1.261192e-18
33.0,883.597,176.2755,1.325576e-15,2.680098,3.596413,1.354767e-18
34.0,873.6385,192.6185,1.325791e-15,2.68589,3.552412,1.413979e-18
35.0,864.5197,205.6886,1.323772e-15,2.689555,3.50716,1.600623e-18
36.0,856.1368,217.5752,1.320229e-15,2.688926,3.463032,1.567374e-18
37.0,847.6514,227.3283,1.316647e-15,2.691812,3.417719,1.363108e-18
38.0,840.9308,235.2026,1.310662e-15,2.696364,3.37178,1.276311e-18
39.0,832.7399,242.8387,1.306877e-15,2.70272,3.321526,1.138014e-18
40.0,825.6448,244.1914,1.299513e-15,2.710327,3.271416,1.174538e-18
41.0,817.322,243.2605,1.291782e-15,2.72114,3.220098,1.094576e-18
42.0,809.2612,240.1483,1.282183e-15,2.733561,3.160995,9.424033e-19
43.0,801.8361,233.8687,1.270132e-15,2.748222,3.097505,7.597878e-19
44.0,794.0734,227.3345,1.258539e-15,2.765169,3.033913,7.635781e-19
45.0,789.0438,221.2814,1.245179e-15,2.784887,2.966026,8.419165e-19
46.0,785.2647,216.4651,1.231485e-15,2.803555,2.894855,9.000736e-19
47.0,780.0792,206.843,1.215907e-15,2.820261,2.826783,9.596066e-19
48.0,777.9229,200.1309,1.199399e-15,2.835594,2.759447,1.012738e-18
49.0,776.0253,196.5083,1.183678e-15,2.849858,2.692996,1.019029e-18
50.0,775.5624,194.6851,1.166729e-15,2.862029,2.62889,1.050072e-18
51.0,774.52,194.7551,1.150838e-15,2.871625,2.564952,1.002086e-18
52.0,772.4476,193.8777,1.134196e-15,2.879845,2.502157,1.005937e-18
53.0,773.831,200.7939,1.117332e-15,2.885971,2.438536,1.123909e-18
54.0,772.3616,207.3243,1.10198e-15,2.890613,2.375724,1.159732e-18
55.0,771.7898,217.677,1.087477e-15,2.893481,2.31348,1.324572e-18
56.0,767.7566,228.0235,1.075365e-15,2.89534,2.252776,1.321466e-18
57.0,763.2599,237.9502,1.062955e-15,2.895943,2.194228,1.410265e-18
58.0,757.7242,254.6248,1.054795e-15,2.895182,2.137301,1.441918e-18
59.0,752.0296,272.2461,1.046686e-15,2.893718,2.080735,1.476203e-18
60.0,743.6106,290.4815,1.041094e-15,2.891312,2.026087,1.493062e-18
61.0,733.846,308.9821,1.03612e-15,2.888266,1.974034,1.551966e-18
62.0,721.715,329.1761,1.034914e-15,2.884847,1.923955,1.57836e-18
63.0,708.2682,349.8546,1.03495e-15,2.879718,1.875398,1.568228e-18
64.0,697.2817,374.5896,1.035584e-15,2.872556,1.828469,1.56513e-18
65.0,683.2615,395.2831,1.038041e-15,2.86357,1.783113,1.423709e-18
66.0,673.6077,419.9359,1.040656e-15,2.851314,1.738837,1.436749e-18
67.0,663.0457,440.7439,1.044912e-15,2.836638,1.697266,1.446274e-18
68.0,654.3255,458.3781,1.047778e-15,2.819433,1.655754,1.651877e-18
69.0,645.6866,473.3141,1.051967e-15,2.800983,1.613205,1.464717e-18
70.0,637.4796,485.8063,1.056009e-15,2.782918,1.569255,1.254426e-18
71.0,629.4654,493.2282,1.059717e-15,2.763914,1.526867,1.018365e-18
72.0,620.9143,497.3248,1.063568e-15,2.745084,1.485002,9.370413e-19
73.0,614.1315,498.8584,1.0668e-15,2.727867,1.443292,7.955958e-19
74.0,606.4828,497.3669,1.070087e-15,2.712479,1.401856,6.696525e-19
75.0,600.5565,494.5643,1.071422e-15,2.697667,1.363621,6.006328e-19
76.0,593.3641,488.3865,1.072055e-15,2.686228,1.326682,3.801778e-19
77.0,583.652,479.7714,1.072061e-15,2.677369,1.291876,2.13185e-19
78.0,574.365,472.1833,1.071665e-15,2.668617,1.260324,1.137482e-19
79.0,563.839,466.0602,1.071446e-15,2.660987,1.231273,-3.977488e-20
80.0,553.9078,460.4202,1.069862e-15,2.654852,1.20435,-1.397433e-19
81.0,543.1972,456.8654,1.068711e-15,2.64995,1.179558,-2.481522e-19
82.0,532.3983,453.8787,1.066774e-15,2.645785,1.156629,-3.201807e-19
83.0,520.7353,451.2199,1.064899e-15,2.642143,1.134643,-4.23018e-19
84.0,512.0511,454.8624,1.06286e-15,2.639064,1.11389,-4.830987e-19
85.0,502.6544,458.5913,1.061038e-15,2.636576,1.094035,-5.779208e-19
86.0,492.8659,458.4186,1.057217e-15,2.633905,1.074884,-6.612054e-19
87.0,486.6503,468.7178,1.05541e-15,2.631722,1.057444,-7.545774e-19
88.0,478.8354,474.2414,1.053159e-15,2.629381,1.04049,-8.736488e-19
89.0,472.0255,479.0897,1.049631e-15,2.625996,1.026156,-1.012607e-18
90.0,467.6852,493.6847,1.049028e-15,2.621548,1.012875,-1.165392e-18
91.0,462.2109,495.8204,1.04476e-15,2.616485,0.9992696,-1.198805e-18
92.0,459.6962,506.2529,1.041816e-15,2.612502,0.9834473,-1.267452e-18
93.0,455.6373,516.3943,1.0407e-15,2.609935,0.9664138,-1.394231e-18
94.0,452.6697,516.0084,1.034239e-15,2.609039,0.9491241,-1.361274e-18
95.0,450.0543,530.6648,1.034746e-15,2.608861,0.9332135,-1.525364e-18
96.0,446.4466,527.1413,1.029135e-15,2.608785,0.9173024,-1.619737e-18
97.0,443.1041,533.0016,1.0272e-15,2.608239,0.9030051,-1.801867e-18
98.0,441.2744,536.8421,1.024823e-15,2.607409,0.8919038,-1.888753e-18
99.0,438.4207,531.8514,1.019062e-15,2.605864,0.8826004,-1.930164e-18
100.0,434.2588,543.6774,1.021345e-15,2.603024,0.874103,-2.165178e-18
101.0,432.2372,533.2309,1.012883e-15,2.602124,0.86459,-2.063037e-18
102.0,428.5901,544.2565,1.013417e-15,2.600462,0.856126,-2.272623e-18
103.0,425.8531,543.4203,1.009368e-15,2.599386,0.8483956,-2.281861e-18
104.0,421.7077,543.0964,1.005595e-15,2.597685,0.8417092,-2.343522e-18
105.0,418.2125,552.0196,1.005073e-15,2.595815,0.8349196,-2.468507e-18
106.0,414.7662,545.8512,9.985831e-16,2.594155,0.8270539,-2.383199e-18
107.0,408.3949,558.8069,1.001292e-15,2.590443,0.8194941,-2.578761e-18
108.0,404.1537,552.7372,9.951961e-16,2.586367,0.8107236,-2.440325e-18
109.0,397.8202,559.7512,9.953187e-16,2.579892,0.8022054,-2.55883e-18
110.0,391.9343,563.5893,9.940254e-16,2.572748,0.7930144,-2.623293e-18
111.0,385.6867,563.3315,9.914013e-16,2.56386,0.7841066,-2.581944e-18
112.0,380.6015,575.5873,9.927803e-16,2.553354,0.7758589,-2.711141e-18
113.0,374.6796,567.6189,9.877334e-16,2.541773,0.7674913,-2.62719e-18
114.0,368.2965,579.5341,9.906986e-16,2.526868,0.760334,-2.762069e-18
115.0,362.3932,579.9554,9.897548e-16,2.510673,0.7524073,-2.766013e-18
116.0,355.1856,575.3518,9.883444e-16,2.491996,0.7443223,-2.728982e-18
117.0,351.9676,589.9885,9.911478e-16,2.470177,0.7375638,-2.847661e-18
118.0,343.5462,574.6221,9.878381e-16,2.446992,0.7304535,-2.755933e-18
119.0,339.468,587.0721,9.914331e-16,2.420639,0.7253043,-2.885105e-18
120.0,335.0692,581.801,9.891972e-16,2.393082,0.7206111,-2.82681e-18
121.0,326.7107,577.3002,9.901424e-16,2.36381,0.7163341,-2.943037e-18
122.0,323.3119,584.765,9.92227e-16,2.333021,0.713243,-2.944348e-18
123.0,316.4946,575.5206,9.895736e-16,2.302273,0.7101311,-2.915049e-18
124.0,310.5868,581.73,9.935645e-16,2.26953,0.7083051,-2.994448e-18
125.0,303.8089,576.6982,9.920681e-16,2.236872,0.7065582,-2.955843e-18
126.0,299.3955,578.8317,9.919041e-16,2.203836,0.7057039,-2.932655e-18
127.0,289.6942,580.4651,9.959302e-16,2.170318,0.705153,-3.050166e-18
128.0,287.8717,582.0419,9.925506e-16,2.137787,0.7052005,-2.863746e-18
129.0,277.4902,587.0443,9.978933e-16,2.104341,0.7055572,-3.033086e-18
130.0,273.4699,586.8695,9.958375e-16,2.07205,0.7057675,-2.862357e-18
131.0,267.5885,595.6287,9.979081e-16,2.038855,0.7063275,-2.919754e-18
132.0,260.8893,598.4702,9.996109e-16,2.006263,0.7063312,-2.946812e-18
133.0,257.8134,603.5788,9.987809e-16,1.973673,0.7064048,-2.862219e-18
134.0,251.2429,610.7818,1.001587e-15,1.940647,0.7060765,-2.958791e-18
135.0,248.5345,613.0456,1.000156e-15,1.908254,0.7057499,-2.845965e-18
136.0,242.9278,620.1405,1.002144e-15,1.875501,0.705854,-2.892291e-18
137.0,239.0987,621.6186,1.001589e-15,1.843722,0.7059021,-2.799354e-18
138.0,235.8997,626.7143,1.001881e-15,1.812086,0.7064762,-2.815856e-18
139.0,230.3469,628.3771,1.002453e-15,1.780941,0.7072261,-2.890249e-18
140.0,228.6762,631.3686,1.001377e-15,1.750799,0.7085483,-2.867497e-18
141.0,224.0019,634.5403,1.001624e-15,1.721232,0.710238,-2.91088e-18
142.0,217.9482,629.1944,1.001529e-15,1.692992,0.7116879,-2.94232e-18
143.0,220.3163,643.4502,1.000029e-15,1.665468,0.7144918,-2.853777e-18
144.0,210.4376,631.6737,1.000591e-15,1.639411,0.7163372,-2.985321e-18
145.0,208.8074,635.9948,1.000471e-15,1.614278,0.7191348,-2.934272e-18
146.0,210.4475,646.2647,9.977608e-16,1.589765,0.7229681,-2.859355e-18
147.0,197.9652,629.7794,1.000117e-15,1.566328,0.7257557,-3.051291e-18
148.0,204.0899,646.5744,9.969478e-16,1.543774,0.7306028,-2.821211e-18
149.0,197.2672,639.1033,9.964581e-16,1.521871,0.7348522,-2.950145e-18
150.0,189.8717,631.8688,9.983302e-16,1.501265,0.7389741,-2.998167e-18
151.0,198.0506,649.2233,9.927507e-16,1.48059,0.7449445,-2.750106e-18
152.0,183.8482,629.2282,9.964944e-16,1.461382,0.7491289,-3.057819e-18
153.0,186.3671,634.6102,9.937838e-16,1.442878,0.7547242,-2.839071e-18
154.0,186.5216,638.1741,9.914895e-16,1.424675,0.7607587,-2.844918e-18
155.0,174.117,618.1171,9.944118e-16,1.408118,0.765509,-3.038331e-18
156.0,182.6945,632.0649,9.889715e-16,1.391435,0.7722847,-2.744309e-18
157.0,170.7556,615.3445,9.919113e-16,1.375685,0.7778264,-3.022332e-18
158.0,169.2541,607.41,9.899024e-16,1.361098,0.7838285,-2.883166e-18
159.0,173.0007,617.1738,9.870209e-16,1.345896,0.7913219,-2.798592e-18
160.0,158.5925,589.6402,9.898428e-16,1.332354,0.7970142,-3.038977e-18
161.0,164.7698,596.7598,9.859308e-16,1.319015,0.8045684,-2.767941e-18
162.0,157.7695,587.9042,9.863859e-16,1.305266,0.8117851,-2.923172e-18
163.0,150.639,567.9136,9.861458e-16,1.293634,0.8181259,-2.954479e-18
164.0,156.7105,581.5324,9.830117e-16,1.280685,0.8265872,-2.788068e-18
165.0,143.3792,554.4825,9.846956e-16,1.269208,0.8331445,-3.012035e-18
166.0,145.9407,556.8788,9.829654e-16,1.257813,0.841243,-2.841646e-18
167.0,141.4363,552.3098,9.825238e-16,1.245443,0.8495008,-2.873688e-18
168.0,134.1566,532.6866,9.829012e-16,1.235072,0.8567184,-2.914672e-18
169.0,137.8076,543.3262,9.809398e-16,1.223215,0.8655875,-2.788317e-18
170.0,125.6306,519.0986,9.826227e-16,1.212702,0.8728648,-2.939495e-18
171.0,131.1492,527.9504,9.804502e-16,1.201833,0.8817873,-2.761054e-18
172.0,120.2456,511.4225,9.821233e-16,1.190959,0.8896743,-2.904826e-18
173.0,122.8756,511.7203,9.80369e-16,1.180793,0.8982497,-2.747803e-18
174.0,115.8046,503.3304,9.818684e-16,1.170266,0.906665,-2.851401e-18
175.0,113.8251,496.718,9.810722e-16,1.160228,0.9150748,-2.763525e-18
176.0,112.6481,495.2409,9.813267e-16,1.150334,0.9238974,-2.774369e-18
177.0,103.8296,482.6348,9.829876e-16,1.140079,0.9321702,-2.853909e-18
178.0,108.0918,485.4861,9.812709e-16,1.130699,0.9413613,-2.725256e-18
179.0,98.67973,473.5974,9.835348e-16,1.120693,0.949864,-2.866985e-18
180.0,100.0455,472.1479,9.821693e-16,1.1112,0.9587158,-2.737869e-18
181.0,96.99631,469.091,9.834097e-16,1.101709,0.9676276,-2.777386e-18
182.0,89.92731,459.1169,9.850556e-16,1.091715,0.9760802,-2.784318e-18
183.0,93.87484,463.4764,9.839595e-16,1.082591,0.9852619,-2.659945e-18
184.0,82.7918,451.9221,9.879736e-16,1.072204,0.9938273,-2.80572e-18
